landa_plot	R_mean_plot	R_ste_plot
4.497099999999999795e+02	1.002720000000000000e-01	4.234863325376084751e-03
4.500699999999999932e+02	9.875800000000001244e-02	4.683919758887028668e-03
4.504399999999999977e+02	9.277699999999999836e-02	4.260542589136523395e-03
4.508000000000000114e+02	9.756499999999998507e-02	4.166837068310466283e-03
4.511700000000000159e+02	9.462400000000001365e-02	4.073963709668056848e-03
4.515299999999999727e+02	9.598900000000000488e-02	4.348930628945995962e-03
4.518999999999999773e+02	1.013430000000000025e-01	4.964466669008092692e-03
4.522599999999999909e+02	9.690100000000001490e-02	4.480859713183482987e-03
4.526299999999999955e+02	9.746399999999999508e-02	4.090616128126948331e-03
4.529900000000000091e+02	9.480799999999998950e-02	3.668212476020271933e-03
4.533600000000000136e+02	9.488399999999999612e-02	3.550881407373494402e-03
4.537200000000000273e+02	9.756899999999998907e-02	3.805043303099392080e-03
4.540899999999999750e+02	9.127000000000000390e-02	3.909645468876646497e-03
4.544499999999999886e+02	9.513800000000000034e-02	3.643384901223248318e-03
4.548199999999999932e+02	9.681599999999999928e-02	3.958726718374132834e-03
4.551800000000000068e+02	9.563199999999999479e-02	4.043996652208916437e-03
4.555500000000000114e+02	8.998500000000000942e-02	3.426290267913679761e-03
4.559100000000000250e+02	8.988300000000000456e-02	3.494213469327648279e-03
4.562799999999999727e+02	8.857000000000000983e-02	3.774636202541704379e-03
4.566399999999999864e+02	9.186999999999997946e-02	3.859685319975031999e-03
4.570099999999999909e+02	9.027900000000001202e-02	4.026368558543885409e-03
4.573700000000000045e+02	8.831500000000000461e-02	4.090598649060099047e-03
4.577300000000000182e+02	8.695200000000000151e-02	3.740789879567804881e-03
4.581000000000000227e+02	8.420500000000000207e-02	3.515281419963196905e-03
4.584599999999999795e+02	8.653799999999998993e-02	3.398840481014756432e-03
4.588299999999999841e+02	8.866899999999999782e-02	3.853405576689474671e-03
4.591899999999999977e+02	8.141700000000000326e-02	4.057786257023934112e-03
4.595600000000000023e+02	8.138900000000000301e-02	3.665794372931381519e-03
4.599200000000000159e+02	8.139499999999999513e-02	3.934854556983700263e-03
4.602900000000000205e+02	8.542099999999999693e-02	3.661939261354038144e-03
4.606499999999999773e+02	7.965399999999998870e-02	3.313263369224692372e-03
4.610099999999999909e+02	8.319099999999998718e-02	3.667739075108387113e-03
4.613799999999999955e+02	7.967299999999999383e-02	3.737849865281457715e-03
4.617400000000000091e+02	8.009900000000000353e-02	3.894707148070413426e-03
4.621100000000000136e+02	7.914400000000001989e-02	3.429880284970711693e-03
4.624700000000000273e+02	8.544100000000001693e-02	3.680521796200599341e-03
4.628299999999999841e+02	8.215400000000001868e-02	3.599875467931550055e-03
4.631999999999999886e+02	8.038700000000000012e-02	3.138803556967331970e-03
4.635600000000000023e+02	7.726800000000000335e-02	3.666866992196682849e-03
4.639300000000000068e+02	8.005899999999999128e-02	3.405089053393238214e-03
4.642900000000000205e+02	7.913100000000000689e-02	3.628346614347388675e-03
4.646499999999999773e+02	8.109099999999999642e-02	3.227269493645577164e-03
4.650199999999999818e+02	7.493900000000000561e-02	3.772665340211184010e-03
4.653799999999999955e+02	7.522900000000001808e-02	3.225353993690520307e-03
4.657500000000000000e+02	7.490899999999998948e-02	3.636781850863374070e-03
4.661100000000000136e+02	7.876600000000000268e-02	3.212374199871490931e-03
4.664700000000000273e+02	7.643700000000000494e-02	3.034449145295504188e-03
4.668399999999999750e+02	7.545099999999999030e-02	3.284797019838282817e-03
4.671999999999999886e+02	7.424200000000000244e-02	3.217206576184711720e-03
4.675600000000000023e+02	7.563899999999999790e-02	3.055907129579593217e-03
4.679300000000000068e+02	7.099099999999999855e-02	3.163948956604705365e-03
4.682900000000000205e+02	7.548399999999999554e-02	3.394019899311592932e-03
4.686499999999999773e+02	7.482399999999998774e-02	3.104116423272614955e-03
4.690199999999999818e+02	7.376299999999999524e-02	3.027717609533115035e-03
4.693799999999999955e+02	7.291300000000000558e-02	2.976010765592604357e-03
4.697400000000000091e+02	7.224600000000000466e-02	3.327246077695255461e-03
4.701100000000000136e+02	7.418199999999999794e-02	3.337714280070213421e-03
4.704700000000000273e+02	7.184599999999999320e-02	3.169497218074914316e-03
4.708299999999999841e+02	7.312599999999999656e-02	3.351756646205779431e-03
4.711999999999999886e+02	7.332700000000000329e-02	3.149285156984041583e-03
4.715600000000000023e+02	7.205999999999999905e-02	3.363141617366348628e-03
4.719200000000000159e+02	7.335099999999999953e-02	3.506667813444289562e-03
4.722900000000000205e+02	7.098900000000001043e-02	3.186357324594967563e-03
4.726499999999999773e+02	7.229699999999998627e-02	3.075960650443520204e-03
4.730099999999999909e+02	7.209200000000000330e-02	3.207877035817158305e-03
4.733700000000000045e+02	7.210700000000000442e-02	3.145007533316157740e-03
4.737400000000000091e+02	7.183999999999998720e-02	3.287751628275890729e-03
4.741000000000000227e+02	7.291799999999999671e-02	3.291477292832318841e-03
4.744599999999999795e+02	7.155300000000000549e-02	3.298237536344805244e-03
4.748299999999999841e+02	7.057900000000001672e-02	3.386569730340945571e-03
4.751899999999999977e+02	7.178500000000000159e-02	3.238335576757342144e-03
4.755500000000000114e+02	7.281200000000000172e-02	3.399144643537886385e-03
4.759100000000000250e+02	7.220300000000000329e-02	3.202115658796180105e-03
4.762799999999999727e+02	7.320000000000000118e-02	3.165682816124775357e-03
4.766399999999999864e+02	7.288999999999999646e-02	3.404041489397339505e-03
4.770000000000000000e+02	7.251199999999999313e-02	3.381403168008125480e-03
4.773600000000000136e+02	7.256199999999998762e-02	3.629454462079348149e-03
4.777300000000000182e+02	7.351699999999999902e-02	3.475177040315853821e-03
4.780899999999999750e+02	7.280299999999999272e-02	3.555395910011019053e-03
4.784499999999999886e+02	7.313899999999999568e-02	3.796935292493752289e-03
4.788100000000000023e+02	7.337100000000000566e-02	3.775554050019068290e-03
4.791800000000000068e+02	7.325800000000000367e-02	3.814281624066623126e-03
4.795400000000000205e+02	7.386600000000001498e-02	3.941711303482283227e-03
4.798999999999999773e+02	7.416500000000000870e-02	3.860626144910852230e-03
4.802599999999999909e+02	7.459000000000000352e-02	4.096523666945690000e-03
4.806299999999999955e+02	7.661700000000000454e-02	4.008355129745099117e-03
4.809900000000000091e+02	7.428799999999999293e-02	4.129360315519174478e-03
4.813500000000000227e+02	7.706999999999999962e-02	4.031422730348334545e-03
4.817099999999999795e+02	7.653299999999998993e-02	4.040470088796789365e-03
4.820699999999999932e+02	7.682899999999999452e-02	4.385348060916558106e-03
4.824399999999999977e+02	7.863799999999999957e-02	4.467452345749024258e-03
4.828000000000000114e+02	7.826200000000001211e-02	4.398082589212991972e-03
4.831600000000000250e+02	7.830099999999999560e-02	4.478895373775855851e-03
4.835199999999999818e+02	7.897800000000000653e-02	4.525812430254501882e-03
4.838799999999999955e+02	7.966399999999999870e-02	4.752011266497911841e-03
4.842400000000000091e+02	8.064799999999999747e-02	4.462852106341517848e-03
4.846100000000000136e+02	8.279400000000000648e-02	4.762886681253453852e-03
4.849700000000000273e+02	8.166199999999998460e-02	4.825058915543057290e-03
4.853299999999999841e+02	8.304999999999998495e-02	4.871576431000228420e-03
4.856899999999999977e+02	8.425399999999999556e-02	4.859146680389312550e-03
4.860500000000000114e+02	8.403700000000000059e-02	4.942649561956389756e-03
4.864100000000000250e+02	8.499199999999999811e-02	5.062605106221348961e-03
4.867799999999999727e+02	8.520600000000000396e-02	5.179957706985052757e-03
4.871399999999999864e+02	8.553199999999999692e-02	5.232988085949775992e-03
4.875000000000000000e+02	8.712300000000000599e-02	5.269877104099079251e-03
4.878600000000000136e+02	8.731099999999999972e-02	5.306281248888687803e-03
4.882200000000000273e+02	8.838500000000001910e-02	5.436757694689845107e-03
4.885799999999999841e+02	8.901000000000000578e-02	5.610241047885965344e-03
4.889399999999999977e+02	8.964099999999999846e-02	5.589294499308477236e-03
4.893100000000000023e+02	9.158399999999999874e-02	5.466179540522866746e-03
4.896700000000000159e+02	9.160000000000000087e-02	5.539033656347815138e-03
4.900299999999999727e+02	9.321999999999999731e-02	5.835413504562531745e-03
4.903899999999999864e+02	9.422499999999998932e-02	5.737415291816448659e-03
4.907500000000000000e+02	9.480500000000000038e-02	5.880199401380874734e-03
4.911100000000000136e+02	9.637699999999999045e-02	5.958964165278805153e-03
4.914700000000000273e+02	9.699699999999999989e-02	5.990299472416282453e-03
4.918299999999999841e+02	9.750200000000000533e-02	6.066079560207665242e-03
4.921899999999999977e+02	9.868699999999999695e-02	6.030532321190483838e-03
4.925600000000000023e+02	1.012529999999999958e-01	6.065657938819928388e-03
4.929200000000000159e+02	1.019759999999999972e-01	6.178989735696779721e-03
4.932799999999999727e+02	1.028869999999999924e-01	6.202007745635529715e-03
4.936399999999999864e+02	1.044150000000000078e-01	6.186189239563586774e-03
4.940000000000000000e+02	1.059260000000000063e-01	6.347771529018305173e-03
4.943600000000000136e+02	1.065940000000000082e-01	6.510057686144040540e-03
4.947200000000000273e+02	1.067820000000000019e-01	6.425585492628430387e-03
4.950799999999999841e+02	1.094940000000000080e-01	6.528532312384319018e-03
4.954399999999999977e+02	1.109580000000000011e-01	6.588213461583087606e-03
4.958000000000000114e+02	1.121630000000000127e-01	6.603591219934801075e-03
4.961600000000000250e+02	1.128579999999999861e-01	6.587561682677204287e-03
4.965199999999999818e+02	1.149969999999999881e-01	6.750742870802613725e-03
4.968799999999999955e+02	1.154139999999999888e-01	6.872768471404988415e-03
4.972400000000000091e+02	1.182010000000000005e-01	6.822542662718599632e-03
4.976000000000000227e+02	1.187759999999999927e-01	6.908538217864349483e-03
4.979599999999999795e+02	1.197209999999999663e-01	7.014888940400543400e-03
4.983199999999999932e+02	1.213789999999999869e-01	6.971447090702298510e-03
4.986800000000000068e+02	1.219269999999999798e-01	7.076073992960089584e-03
4.990400000000000205e+02	1.224390000000000062e-01	7.127299461604274036e-03
4.994100000000000250e+02	1.243829999999999936e-01	7.082732203150030222e-03
4.997699999999999818e+02	1.258949999999999791e-01	7.158662772634822105e-03
5.001299999999999955e+02	1.278420000000000112e-01	7.294653025965715590e-03
5.004900000000000091e+02	1.296329999999999982e-01	7.159421984619019144e-03
5.008500000000000227e+02	1.303720000000000157e-01	7.226518238138878759e-03
5.012099999999999795e+02	1.320510000000000017e-01	7.256220615126350755e-03
5.015699999999999932e+02	1.339329999999999965e-01	7.440691246837840243e-03
5.019300000000000068e+02	1.357269999999999865e-01	7.427284735248913979e-03
5.022799999999999727e+02	1.359849999999999948e-01	7.277395693304240278e-03
5.026399999999999864e+02	1.378999999999999670e-01	7.464655796072995446e-03
5.030000000000000000e+02	1.390769999999999507e-01	7.204418307805713836e-03
5.033600000000000136e+02	1.413059999999999872e-01	7.551709760557029881e-03
5.037200000000000273e+02	1.414019999999999722e-01	7.520917579043746339e-03
5.040799999999999841e+02	1.433770000000000322e-01	7.478366856884853184e-03
5.044399999999999977e+02	1.448419999999999985e-01	7.505621052558899588e-03
5.048000000000000114e+02	1.477160000000000140e-01	7.436114390645779358e-03
5.051600000000000250e+02	1.475780000000000147e-01	7.494898039025255955e-03
5.055199999999999818e+02	1.498929999999999985e-01	7.426850150221569156e-03
5.058799999999999955e+02	1.517540000000000000e-01	7.460305335058861273e-03
5.062400000000000091e+02	1.527740000000000209e-01	7.558431278024255531e-03
5.066000000000000227e+02	1.544329999999999870e-01	7.432192041279716416e-03
5.069599999999999795e+02	1.546919999999999962e-01	7.472241121953666909e-03
5.073199999999999932e+02	1.557659999999999878e-01	7.438919400434034455e-03
5.076800000000000068e+02	1.577449999999999686e-01	7.623715352059700495e-03
5.080400000000000205e+02	1.591130000000000044e-01	7.592215958061661503e-03
5.083999999999999773e+02	1.617219999999999769e-01	7.603936308558574032e-03
5.087599999999999909e+02	1.627299999999999858e-01	7.387648423603359119e-03
5.091100000000000136e+02	1.650280000000000080e-01	7.563100890304391526e-03
5.094700000000000273e+02	1.651190000000000158e-01	7.431682328434743162e-03
5.098299999999999841e+02	1.670229999999999770e-01	7.468567574534262787e-03
5.101899999999999977e+02	1.733639999999999903e-01	9.207991278482804964e-03
5.105500000000000114e+02	1.708220000000000016e-01	7.432516066375039268e-03
5.109100000000000250e+02	1.711140000000000438e-01	7.560496035822802073e-03
5.112699999999999818e+02	1.731789999999999996e-01	7.604232976036841458e-03
5.116299999999999955e+02	1.734870000000000023e-01	7.530148742018517340e-03
5.119900000000000091e+02	1.753600000000000159e-01	7.493097028393738528e-03
5.123500000000000227e+02	1.769680000000000142e-01	7.508775153624747123e-03
5.127000000000000455e+02	1.796900000000000164e-01	7.517283265402980447e-03
5.130599999999999454e+02	1.796099999999999919e-01	7.362712397354242815e-03
5.134199999999999591e+02	1.809130000000000460e-01	7.505308382943163756e-03
5.137799999999999727e+02	1.821720000000000006e-01	7.354104641417816626e-03
5.141399999999999864e+02	1.837110000000000132e-01	7.391542406957167695e-03
5.145000000000000000e+02	1.849379999999999913e-01	7.413292510494500984e-03
5.148600000000000136e+02	1.876229999999999842e-01	7.435171825648892972e-03
5.152100000000000364e+02	1.874480000000000035e-01	7.303245516681133517e-03
5.155700000000000500e+02	1.883259999999999934e-01	7.322762845559572902e-03
5.159299999999999500e+02	1.878979999999999817e-01	7.210500548078902470e-03
5.162899999999999636e+02	1.899029999999999885e-01	7.090865527076150102e-03
5.166499999999999773e+02	1.919780000000000375e-01	7.294982237548893085e-03
5.170099999999999909e+02	1.930789999999999729e-01	7.302024634937270137e-03
5.173600000000000136e+02	1.942669999999999952e-01	7.254400791668036939e-03
5.177200000000000273e+02	1.956839999999999968e-01	7.225936532327886276e-03
5.180800000000000409e+02	1.954870000000000219e-01	7.274924905771562242e-03
5.184400000000000546e+02	1.966950000000000087e-01	7.197902178359384499e-03
5.187999999999999545e+02	1.989969999999999795e-01	7.000901046403848992e-03
5.191499999999999773e+02	1.998110000000000164e-01	7.180431254458189902e-03
5.195099999999999909e+02	2.016000000000000014e-01	7.162209371201256475e-03
5.198700000000000045e+02	2.032850000000000212e-01	7.209017029974442922e-03
5.202300000000000182e+02	2.033239999999999770e-01	7.111166646684851864e-03
5.205900000000000318e+02	2.038770000000000027e-01	7.029416438193037547e-03
5.209400000000000546e+02	2.049459999999999893e-01	7.062819136424643846e-03
5.212999999999999545e+02	2.067299999999999971e-01	7.083854665581226957e-03
5.216599999999999682e+02	2.074280000000000013e-01	7.001537501478897856e-03
5.220199999999999818e+02	2.088260000000000116e-01	6.989122009346987983e-03
5.223700000000000045e+02	2.098409999999999997e-01	7.049162465253475812e-03
5.227300000000000182e+02	2.108939999999999981e-01	7.067989726169015760e-03
5.230900000000000318e+02	2.115049999999999986e-01	7.033430637922119012e-03
5.234500000000000455e+02	2.130380000000000051e-01	7.030227132778964910e-03
5.237999999999999545e+02	2.135039999999999993e-01	6.869170725898318848e-03
5.241599999999999682e+02	2.141090000000000215e-01	6.945497872169257951e-03
5.245199999999999818e+02	2.157749999999999946e-01	6.880857420856345205e-03
5.248799999999999955e+02	2.157389999999999863e-01	6.923235954156342284e-03
5.252300000000000182e+02	2.168890000000000262e-01	6.890594420043779159e-03
5.255900000000000318e+02	2.174269999999999814e-01	6.808700096200450379e-03
5.259500000000000455e+02	2.180950000000000111e-01	6.734620227999840551e-03
5.263099999999999454e+02	2.182259999999999756e-01	6.727640482482580807e-03
5.266599999999999682e+02	2.191559999999999897e-01	6.658863404977895945e-03
5.270199999999999818e+02	2.203299999999999981e-01	6.594301735939550949e-03
5.273799999999999955e+02	2.200729999999999631e-01	6.529962663340071506e-03
5.277300000000000182e+02	2.202440000000000231e-01	6.578663904565332579e-03
5.280900000000000318e+02	2.218039999999999734e-01	6.643752901439413730e-03
5.284500000000000455e+02	2.235739999999999950e-01	6.591000180899358497e-03
5.288099999999999454e+02	2.239740000000000342e-01	6.487330635109540833e-03
5.291599999999999682e+02	2.234599999999999920e-01	6.575809163429710037e-03
5.295199999999999818e+02	2.239860000000000184e-01	6.520040726630706510e-03
5.298799999999999955e+02	2.247709999999999986e-01	6.421399973166650073e-03
5.302300000000000182e+02	2.252970000000000250e-01	6.334979819043806866e-03
5.305900000000000318e+02	2.259939999999999727e-01	6.447950682193530000e-03
5.309500000000000455e+02	2.276009999999999978e-01	6.456243781738012395e-03
5.312999999999999545e+02	2.274569999999999648e-01	6.491728826271641814e-03
5.316599999999999682e+02	2.281709999999999849e-01	6.515850077370507684e-03
5.320199999999999818e+02	2.284800000000000164e-01	6.377492152393930171e-03
5.323700000000000045e+02	2.278020000000000045e-01	6.395798115830541621e-03
5.327300000000000182e+02	2.284859999999999669e-01	6.312357745541070063e-03
5.330900000000000318e+02	2.294640000000000291e-01	6.201056882623997256e-03
5.334400000000000546e+02	2.299460000000000393e-01	6.269130377676613436e-03
5.337999999999999545e+02	2.300860000000000127e-01	6.377777428154493035e-03
5.341499999999999773e+02	2.318800000000000028e-01	6.384692149677527288e-03
5.345099999999999909e+02	2.314240000000000186e-01	6.287328795650454390e-03
5.348700000000000045e+02	2.323959999999999915e-01	6.313970127362874066e-03
5.352200000000000273e+02	2.323789999999999745e-01	6.280434508486225885e-03
5.355800000000000409e+02	2.317670000000000008e-01	6.171726232773753172e-03
5.359400000000000546e+02	2.324219999999999897e-01	6.262027295225872266e-03
5.362899999999999636e+02	2.333940000000000181e-01	6.334642992793977807e-03
5.366499999999999773e+02	2.329409999999999814e-01	6.312919896164108369e-03
5.370000000000000000e+02	2.326990000000000447e-01	6.240770224900125951e-03
5.373600000000000136e+02	2.313089999999999868e-01	6.141347064710703067e-03
5.377200000000000273e+02	2.315710000000000268e-01	6.206547095298145869e-03
5.380700000000000500e+02	2.325170000000000015e-01	6.192153850454002947e-03
5.384299999999999500e+02	2.334839999999999693e-01	6.310252000331864446e-03
5.387799999999999727e+02	2.317769999999999830e-01	6.192949222860066015e-03
5.391399999999999864e+02	2.314489999999999603e-01	6.281820222490634882e-03
5.394900000000000091e+02	2.333879999999999844e-01	6.274898074562955744e-03
5.398500000000000227e+02	2.343399999999999928e-01	6.170320649940073954e-03
5.402100000000000364e+02	2.328549999999999787e-01	6.268427511069938132e-03
5.405599999999999454e+02	2.340110000000000245e-01	6.292185073565464970e-03
5.409199999999999591e+02	2.336619999999999808e-01	6.199670313815079832e-03
5.412699999999999818e+02	2.317379999999999995e-01	6.120855118740793806e-03
5.416299999999999955e+02	2.333999999999999964e-01	6.015739739664993299e-03
5.419800000000000182e+02	2.334870000000000556e-01	6.196966758019604483e-03
5.423400000000000318e+02	2.335690000000000544e-01	6.150360521015136098e-03
5.426900000000000546e+02	2.347070000000000545e-01	6.121067535098006704e-03
5.430499999999999545e+02	2.347430000000000072e-01	6.122387549615941268e-03
5.434099999999999682e+02	2.329029999999999989e-01	6.258680009517857828e-03
5.437599999999999909e+02	2.320040000000000158e-01	6.236013914229310631e-03
5.441200000000000045e+02	2.311040000000000316e-01	6.198304879934140275e-03
5.444700000000000273e+02	2.310040000000000426e-01	6.117390745935844670e-03
5.448300000000000409e+02	2.311480000000000479e-01	6.172747898252819478e-03
5.451799999999999500e+02	2.314109999999999778e-01	6.212924302179722962e-03
5.455399999999999636e+02	2.308570000000000066e-01	6.273556965549924314e-03
5.458899999999999864e+02	2.309130000000000071e-01	6.303345271788990747e-03
5.462500000000000000e+02	2.302039999999999920e-01	6.325367754587021482e-03
5.466000000000000227e+02	2.293949999999999600e-01	6.157788720236909152e-03
5.469600000000000364e+02	2.300540000000000362e-01	6.313765815203381190e-03
5.473099999999999454e+02	2.293460000000000498e-01	6.177536501775544690e-03
5.476699999999999591e+02	2.286849999999999716e-01	6.106914271796922387e-03
5.480199999999999818e+02	2.289480000000000126e-01	6.234105179142824908e-03
5.483700000000000045e+02	2.266019999999999701e-01	6.229823531270304443e-03
5.487300000000000182e+02	2.274270000000000458e-01	6.344263677952282146e-03
5.490800000000000409e+02	2.275230000000000030e-01	6.358965209722534755e-03
5.494400000000000546e+02	2.256410000000000360e-01	6.280390170388115353e-03
5.497899999999999636e+02	2.257669999999999677e-01	6.349673528857757189e-03
5.501499999999999773e+02	2.242710000000000259e-01	6.385523706008772865e-03
5.505000000000000000e+02	2.249749999999999805e-01	6.520793515893835018e-03
5.508600000000000136e+02	2.252930000000000210e-01	6.483481739122776144e-03
5.512100000000000364e+02	2.238269999999999982e-01	6.357663703691065864e-03
5.515700000000000500e+02	2.220320000000000071e-01	6.383760623042476594e-03
5.519199999999999591e+02	2.217950000000000199e-01	6.298050278275992876e-03
5.522699999999999818e+02	2.211730000000000085e-01	6.249682459625757053e-03
5.526299999999999955e+02	2.207040000000000113e-01	6.319877213997121893e-03
5.529800000000000182e+02	2.204220000000000346e-01	6.483559065347221408e-03
5.533400000000000318e+02	2.202519999999999756e-01	6.563144977828842992e-03
5.536900000000000546e+02	2.194269999999999832e-01	6.483761378658580397e-03
5.540399999999999636e+02	2.200099999999999834e-01	6.430708777779892832e-03
5.543999999999999773e+02	2.200449999999999906e-01	6.384922895745519765e-03
5.547500000000000000e+02	2.182800000000000296e-01	6.601995269497058609e-03
5.551100000000000136e+02	2.174589999999999856e-01	6.589443941755515968e-03
5.554600000000000364e+02	2.168479999999999852e-01	6.754146282099608364e-03
5.558099999999999454e+02	2.151190000000000047e-01	6.645181533666673357e-03
5.561699999999999591e+02	2.152969999999999884e-01	6.701912132426776983e-03
5.565199999999999818e+02	2.152909999999999824e-01	6.737740599386072768e-03
5.568799999999999955e+02	2.143320000000000225e-01	6.730713735155833058e-03
5.572300000000000182e+02	2.136689999999999701e-01	6.682239312593437654e-03
5.575800000000000409e+02	2.120029999999999970e-01	6.763814359686972852e-03
5.579400000000000546e+02	2.113249999999999851e-01	6.722059923519324229e-03
5.582899999999999636e+02	2.104529999999999457e-01	6.710981820866453347e-03
5.586399999999999864e+02	2.091600000000000126e-01	6.559143940391094774e-03
5.590000000000000000e+02	2.082609999999999739e-01	6.564591082232243413e-03
5.593500000000000227e+02	2.069779999999999676e-01	6.672978437756953499e-03
