3.45;359.37;4.554596;3.936172;2.299389;0.855917;0.304;12.117;74.965;0.39642;0.10648;334.1;299271.2
3.5;354.24;4.416289;4.00008;2.27759;0.878139;0.305;12.521;74.842;0.40856;0.11068;321;311490.9
3.55;349.25;4.278129;4.055398;2.255319;0.899074;0.307;12.918;74.678;0.42031;0.11516;309.1;323473
3.6;344.4;4.140657;4.102538;2.23266;0.918756;0.308;13.309;74.481;0.43169;0.11987;298.3;335209.8
3.65;339.68;4.00435;4.14192;2.209689;0.937218;0.309;13.692;74.255;0.4427;0.12481;288.4;346695
3.7;335.09;3.869622;4.173973;2.186478;0.954497;0.31;14.069;74.005;0.45334;0.12995;279.4;357923.6
3.75;330.62;3.736832;4.199125;2.16309;0.970631;0.312;14.439;73.734;0.46362;0.13528;271.1;368892.4
3.8;326.27;3.606291;4.217801;2.139583;0.985659;0.313;14.803;73.445;0.47356;0.14077;263.4;379598.7
3.85;322.04;3.478256;4.230419;2.11601;0.999622;0.314;15.16;73.141;0.48315;0.14641;256.4;390041.2
3.9;317.91;3.352945;4.237388;2.092419;1.012557;0.315;15.512;72.824;0.4924;0.15219;249.9;400219.6
3.95;313.88;3.23054;4.239105;2.068853;1.024506;0.316;15.857;72.497;0.50133;0.1581;243.8;410134
4;309.96;3.111181;4.23595;2.04535;1.035507;0.318;16.195;72.16;0.50994;0.16411;238.2;419785.5
4.05;306.13;2.994982;4.228294;2.021945;1.045601;0.319;16.528;71.816;0.51823;0.17023;233;429175.6
4.1;302.4;2.882028;4.216487;1.99867;1.054823;0.32;16.856;71.465;0.52622;0.17643;228.2;438306.4
4.15;298.76;2.772377;4.200865;1.975551;1.063214;0.321;17.177;71.109;0.53392;0.18271;223.6;447180.5
4.2;295.2;2.66607;4.181746;1.952613;1.070807;0.322;17.493;70.749;0.54132;0.18905;219.4;455800.6
4.25;291.73;2.563121;4.159432;1.929878;1.077641;0.323;17.804;70.384;0.54844;0.19546;215.4;464170.1
4.3;288.34;2.463532;4.134208;1.907365;1.083748;0.324;18.109;70.018;0.55529;0.20192;211.7;472292.6
4.35;285.02;2.367293;4.106344;1.885091;1.089163;0.326;18.409;69.648;0.56187;0.20842;208.3;480171.5
4.4;281.78;2.274374;4.07609;1.86307;1.093918;0.327;18.704;69.278;0.56819;0.21495;205;487810.9
4.45;278.62;2.184741;4.043685;1.841315;1.098043;0.328;18.994;68.906;0.57426;0.22152;201.9;495214.7
4.5;275.52;2.098345;4.009349;1.819835;1.101569;0.329;19.279;68.534;0.58007;0.22811;199;502387.2
4.55;272.49;2.015133;3.97329;1.798641;1.104525;0.33;19.56;68.161;0.58565;0.23471;196.3;509332.4
4.6;269.53;1.935046;3.9357;1.77774;1.106939;0.331;19.835;67.788;0.591;0.24133;193.8;516054.7
4.65;266.63;1.858016;3.89676;1.757138;1.108837;0.332;20.106;67.416;0.59612;0.24795;191.4;522558.4
4.7;263.8;1.783974;3.856635;1.736841;1.110244;0.333;20.373;67.044;0.60102;0.25458;189.1;528847.6
4.75;261.02;1.712844;3.815481;1.716851;1.111186;0.334;20.636;66.673;0.6057;0.2612;186.9;534926.9
4.8;258.3;1.644553;3.773442;1.697173;1.111685;0.335;20.894;66.303;0.61018;0.26781;184.9;540800.5
4.85;255.64;1.579021;3.730651;1.677808;1.111763;0.336;21.148;65.934;0.61445;0.27442;183;546472.5
4.9;253.03;1.516168;3.687229;1.658757;1.111443;0.337;21.397;65.567;0.61853;0.28101;181.2;551947.3
4.95;250.47;1.455915;3.64329;1.640021;1.110745;0.338;21.643;65.201;0.62242;0.28758;179.5;557229
5;247.97;1.398181;3.598938;1.6216;1.109687;0.339;21.885;64.837;0.62612;0.29414;177.8;562321.7
5.05;245.51;1.342885;3.55427;1.603493;1.108289;0.34;22.123;64.474;0.62964;0.30067;176.3;567229.5
5.1;243.11;1.28995;3.509372;1.5857;1.106569;0.341;22.357;64.113;0.63298;0.30718;174.8;571956.2
5.15;240.75;1.239294;3.464326;1.568218;1.104542;0.342;22.588;63.755;0.63615;0.31365;173.5;576505.9
5.2;238.43;1.190839;3.419205;1.551045;1.102226;0.343;22.815;63.398;0.63916;0.3201;172.2;580882.5
5.25;236.16;1.144509;3.374077;1.53418;1.099636;0.344;23.038;63.043;0.64201;0.32652;170.9;585089.5
5.3;233.93;1.100229;3.329004;1.517619;1.096785;0.345;23.258;62.69;0.6447;0.3329;169.7;589130.7
5.35;231.75;1.057924;3.28404;1.501359;1.093689;0.346;23.475;62.34;0.64725;0.33924;168.6;593009.7
5.4;229.6;1.017524;3.239238;1.485398;1.09036;0.347;23.688;61.991;0.64964;0.34555;167.6;596729.9
5.45;227.49;0.978956;3.194642;1.469733;1.086811;0.348;23.898;61.645;0.65189;0.35182;166.6;600294.8
5.5;225.43;0.942152;3.150295;1.454358;1.083054;0.349;24.105;61.301;0.654;0.35805;165.6;603707.8
5.55;223.39;0.907047;3.106235;1.439272;1.0791;0.349;24.309;60.959;0.65598;0.36423;164.8;606972.1
5.6;221.4;0.873574;3.062495;1.424469;1.07496;0.35;24.51;60.619;0.65783;0.37038;163.9;610090.8
5.65;219.44;0.841671;3.019105;1.409947;1.070645;0.351;24.707;60.282;0.65955;0.37648;163.1;613067.1
5.7;217.52;0.811278;2.976093;1.395702;1.066164;0.352;24.902;59.947;0.66115;0.38254;162.4;615903.9
5.75;215.62;0.782333;2.933482;1.381728;1.061527;0.353;25.094;59.614;0.66263;0.38855;161.7;618604.4
5.8;213.77;0.754782;2.891294;1.368023;1.056742;0.354;25.283;59.283;0.66399;0.39452;161;621171.1
5.85;211.94;0.728569;2.849548;1.354581;1.051819;0.355;25.469;58.955;0.66524;0.40044;160.4;623606.8
5.9;210.14;0.70364;2.808259;1.3414;1.046764;0.355;25.652;58.629;0.66638;0.40631;159.8;625914.5
5.95;208.38;0.679944;2.767443;1.328475;1.041586;0.356;25.833;58.305;0.66742;0.41213;159.2;628096.6
6;206.64;0.657432;2.727111;1.315802;1.036293;0.357;26.011;57.983;0.66835;0.41791;158.7;630155.6
6.05;204.93;0.636055;2.687274;1.303376;1.03089;0.358;26.187;57.664;0.66919;0.42364;158.2;632094.3
6.1;203.25;0.615767;2.647941;1.291194;1.025385;0.358;26.36;57.347;0.66993;0.42931;157.7;633914.8
6.15;201.6;0.596525;2.609118;1.279251;1.019783;0.359;26.53;57.032;0.67057;0.43494;157.3;635619.6
6.2;199.97;0.578285;2.570813;1.267544;1.014092;0.36;26.698;56.719;0.67112;0.44052;156.9;637211
6.25;198.37;0.561006;2.533028;1.256068;1.008316;0.361;26.864;56.409;0.67159;0.44606;156.6;638691.2
6.3;196.8;0.544649;2.495768;1.24482;1.002461;0.361;27.028;56.1;0.67196;0.45154;156.2;640062.3
6.35;195.25;0.529176;2.459034;1.233796;0.996532;0.362;27.189;55.794;0.67226;0.45697;155.9;641326.5
6.4;193.73;0.514549;2.422829;1.222991;0.990534;0.363;27.347;55.49;0.67248;0.46235;155.6;642485.9
6.45;192.22;0.500735;2.387152;1.212402;0.984472;0.364;27.504;55.188;0.67261;0.46768;155.4;643542.4
6.5;190.74;0.487699;2.352004;1.202026;0.97835;0.364;27.658;54.889;0.67267;0.47296;155.2;644498.1
